lat,lon,vader_compound,
45.434333,12.338333,-19,
45.434333,12.3385,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.433055,12.337893,-19,
45.43459,12.358996,-19,
45.433221,12.339556,-19,
45.43328,12.340027,-19,
45.43328,12.340027,-19,
45.429613,12.342658,-19,
45.429613,12.342658,-19,
45.433702,12.339641,-19,
45.433357,12.339087,-19,
45.433357,12.339087,-19,
45.433357,12.339087,-19,
45.433357,12.339087,-19,
45.433357,12.339087,-19,
45.433524,12.339722,-19,
45.429777,12.342711,-19,
45.431002,12.334552,-19,
45.431002,12.334552,-19,
45.429719,12.342602,-19,
45.429605,12.3426,-19,
45.433586,12.339927,-19,
45.433322,12.340058,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433724,12.339673,-19,
45.433269,12.340055,-19,
45.433794,12.339838,-19,
45.431005,12.334338,-19,
45.429644,12.342572,-19,
45.440642,12.324544,-19,
45.434343,12.338676,-19,
45.433876,12.338891,-19,
45.433816,12.339057,-19,
45.433811,12.33845,-19,
45.433428,12.339963,-19,
45.433428,12.339963,-19,
45.433428,12.339963,-19,
45.434632,12.338848,-19,
45.43423,12.338912,-19,
45.434158,12.338612,-19,
45.440321,12.321382,-19,
45.432962,12.338762,-19,
45.433888,12.337777,-19,
45.434158,12.338612,-19,
45.434158,12.338612,-19,
45.440321,12.321382,-19,
45.434158,12.338612,-19,
45.440321,12.321382,-19,
45.434158,12.338612,-19,
45.433108,12.339341,-19,
45.433153,12.33726,-19,
45.434336,12.338786,-19,
45.434011,12.337925,-19,
45.434267,12.338633,-19,
45.435487,12.338343,-19,
45.434267,12.338633,-19,
45.43356,12.34035,-19,
45.433865,12.339534,-19,
45.433228,12.339845,-19,
45.433409,12.339738,-19,
45.433571,12.339899,-19,
45.434343,12.338987,-19,
45.435171,12.343869,-19,
45.434064,12.338322,-19,
45.434064,12.338322,-19,
45.434064,12.338322,-19,
45.434064,12.338322,-19,
45.434064,12.338322,-19,
45.434064,12.338322,-19,
45.433402,12.339856,-19,
45.433138,12.337861,-19,
45.435552,12.343341,-19,
45.43359,12.33977,-19,
45.433394,12.330409,-19,
45.43333,12.340533,-19,
45.438077,12.335489,-19,
45.432972,12.338225,-19,
45.437461,12.334763,-19,
45.434591,12.343182,-19,
45.434207,12.338751,-19,
45.434616,12.343182,-19,
45.436119,12.344352,-19,
45.434011,12.338182,-19,
45.433483,12.338687,-19,
45.439025,12.326788,-19,
45.433499,12.340242,-19,
45.438599,12.326699,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.434042,12.338204,-19,
45.43371,12.337818,-19,
45.436293,12.327539,-19,
45.436293,12.327539,-19,
45.430547,12.334408,-19,
45.430933,12.334788,-19,
45.430933,12.334788,-19,
45.432936,12.338511,-19,
45.432936,12.338511,-19,
45.433547,12.339694,-19,
45.433572,12.339947,-19,
45.433966,12.338633,-19,
45.432701,12.337388,-19,
45.434042,12.338354,-19,
45.434042,12.338354,-19,
45.433838,12.338515,-19,
45.433131,12.33976,-19,
45.433639,12.340908,-19,
45.438634,12.33417,-19,
45.433891,12.339105,-19,
45.433891,12.339105,-19,
45.433891,12.339105,-19,
45.433891,12.339105,-19,
45.43222,12.336541,-19,
45.433939,12.339027,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.434038,12.339127,-19,
45.429867,12.342684,-19,
45.434102,12.3383,-19,
45.433462,12.340264,-19,
45.433484,12.339663,-19,
45.433484,12.339663,-19,
45.433665,12.340822,-19,
45.433484,12.339663,-19,
45.433484,12.339663,-19,
45.433484,12.339663,-19,
45.433484,12.339663,-19,
45.433974,12.33859,-19,
45.434451,12.339158,-19,
45.43371,12.337803,-19,
45.443497,12.323784,-19,
45.43333,12.340177,-19,
45.438233,12.336047,-19,
