index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
62,1,0,0,24185,0,0,0,567,-30.39,0.85,-1.00,0,1000000,0.960
63,1,0,0,24547,0,0,0,567,-30.08,0.84,-1.00,0,1000000,0.951
64,1,0,0,24910,0,0,0,567,-29.78,0.83,-1.00,0,1000000,0.941
65,1,0,0,25271,0,0,0,567,-29.48,0.82,-1.00,0,1000000,0.931
66,1,0,0,25632,0,0,0,572,-24.24,14.53,-1.00,0,1000000,0.942
67,1,0,0,25998,0,0,0,573,-23.01,3.37,-1.00,0,1000000,0.944
68,1,0,0,26360,0,0,0,573,-22.78,0.64,-1.00,0,1000000,0.929
69,1,0,0,26722,0,0,0,572,-23.54,-2.11,-1.00,0,1000000,0.920
70,1,0,0,27085,0,0,0,571,-24.29,-2.08,-1.00,0,1000000,0.915
71,1,0,0,27448,0,0,0,571,-24.05,0.67,-1.00,0,1000000,0.894
72,1,0,0,27810,0,0,0,584,-10.94,36.22,-1.00,0,1000000,0.910
73,1,0,0,28173,0,0,0,600,5.01,43.94,-1.00,0,1000000,0.924
74,1,0,0,28534,0,0,0,600,4.96,-0.14,-1.00,0,1000000,0.917
75,1,0,0,28896,0,0,0,600,4.91,-0.14,-1.00,0,1000000,0.896
76,1,0,0,29286,0,0,0,598,2.88,-5.20,-1.00,0,1000000,0.864
77,1,0,0,29646,0,0,0,597,1.86,-2.83,-1.00,0,1000000,0.824
78,1,0,0,30011,0,0,0,585,-10.04,-32.60,-1.00,0,1000000,0.850
79,1,0,0,30374,0,0,0,575,-19.84,-27.00,-1.00,0,1000000,0.873
80,1,0,0,30738,0,0,0,572,-22.61,-7.61,-1.00,0,1000000,0.892
81,1,0,0,31101,0,0,0,572,-22.38,0.62,-1.00,0,1000000,0.890
82,1,0,0,31462,0,0,0,570,-24.14,-4.86,-1.00,0,1000000,0.900
83,1,0,0,31825,0,0,0,569,-24.89,-2.06,-1.00,0,1000000,0.893
84,1,0,0,32191,0,0,0,568,-25.63,-2.02,-1.00,0,1000000,0.889
85,1,0,0,32554,0,0,0,568,-25.37,0.71,-1.00,0,1000000,0.875
86,1,0,0,32917,0,0,0,568,-25.12,0.70,-1.00,0,1000000,0.862
87,1,0,0,33278,0,0,0,568,-24.87,0.70,-1.00,0,1000000,0.850
88,1,0,0,33639,0,0,0,569,-23.63,3.43,-1.00,0,1000000,0.857
89,1,0,0,34002,0,0,0,570,-22.40,3.38,-1.00,0,1000000,0.858
